,AAPL Net Income,AAPL Depreciation and Amortization,AAPL Deferred Income Tax,AAPL Stock Based Compensation,AAPL Change in Working Capital,AAPL Accounts Receivables,AAPL Inventory,AAPL Accounts Payables,AAPL Other Working Capital,AAPL Other Non Cash Items,AAPL Cash Flow from Operations,"AAPL Property, Plant and Equipment",AAPL Acquisitions,AAPL Purchases of Investments,AAPL Sales of Investments,AAPL Other Investing Activities,AAPL Cash Flow from Investing,AAPL Debt Repayment,AAPL Common Stock Issued,AAPL Common Stock Purchased,AAPL Dividends Paid,AAPL Other Financing Activities,AAPL Cash Flow from Financing,AAPL Forex Changes on Cash,AAPL Net Change in Cash,AAPL Cash End of Period,AAPL Cash Beginning of Period,AAPL Operating Cash Flow,AAPL Capital Expenditure,AAPL Free Cash Flow,AMZN Net Income,AMZN Depreciation and Amortization,AMZN Deferred Income Tax,AMZN Stock Based Compensation,AMZN Change in Working Capital,AMZN Accounts Receivables,AMZN Inventory,AMZN Accounts Payables,AMZN Other Working Capital,AMZN Other Non Cash Items,AMZN Cash Flow from Operations,"AMZN Property, Plant and Equipment",AMZN Acquisitions,AMZN Purchases of Investments,AMZN Sales of Investments,AMZN Other Investing Activities,AMZN Cash Flow from Investing,AMZN Debt Repayment,AMZN Common Stock Issued,AMZN Common Stock Purchased,AMZN Dividends Paid,AMZN Other Financing Activities,AMZN Cash Flow from Financing,AMZN Forex Changes on Cash,AMZN Net Change in Cash,AMZN Cash End of Period,AMZN Cash Beginning of Period,AMZN Operating Cash Flow,AMZN Capital Expenditure,AMZN Free Cash Flow,GOOGL Net Income,GOOGL Depreciation and Amortization,GOOGL Deferred Income Tax,GOOGL Stock Based Compensation,GOOGL Change in Working Capital,GOOGL Accounts Receivables,GOOGL Inventory,GOOGL Accounts Payables,GOOGL Other Working Capital,GOOGL Other Non Cash Items,GOOGL Cash Flow from Operations,"GOOGL Property, Plant and Equipment",GOOGL Acquisitions,GOOGL Purchases of Investments,GOOGL Sales of Investments,GOOGL Other Investing Activities,GOOGL Cash Flow from Investing,GOOGL Debt Repayment,GOOGL Common Stock Issued,GOOGL Common Stock Purchased,GOOGL Dividends Paid,GOOGL Other Financing Activities,GOOGL Cash Flow from Financing,GOOGL Forex Changes on Cash,GOOGL Net Change in Cash,GOOGL Cash End of Period,GOOGL Cash Beginning of Period,GOOGL Operating Cash Flow,GOOGL Capital Expenditure,GOOGL Free Cash Flow,MSFT Net Income,MSFT Depreciation and Amortization,MSFT Deferred Income Tax,MSFT Stock Based Compensation,MSFT Change in Working Capital,MSFT Accounts Receivables,MSFT Inventory,MSFT Accounts Payables,MSFT Other Working Capital,MSFT Other Non Cash Items,MSFT Cash Flow from Operations,"MSFT Property, Plant and Equipment",MSFT Acquisitions,MSFT Purchases of Investments,MSFT Sales of Investments,MSFT Other Investing Activities,MSFT Cash Flow from Investing,MSFT Debt Repayment,MSFT Common Stock Issued,MSFT Common Stock Purchased,MSFT Dividends Paid,MSFT Other Financing Activities,MSFT Cash Flow from Financing,MSFT Forex Changes on Cash,MSFT Net Change in Cash,MSFT Cash End of Period,MSFT Cash Beginning of Period,MSFT Operating Cash Flow,MSFT Capital Expenditure,MSFT Free Cash Flow
2019,55256000000.0,12547000000.0,-340000000.0,6068000000.0,-3488000000.0,245000000.0,-289000000.0,-1923000000.0,-625000000.0,-652000000.0,69391000000.0,-10495000000.0,-624000000.0,-40631000000.0,98724000000.0,-1078000000.0,45896000000.0,-1842000000.0,781000000.0,-69714000000.0,-14119000000.0,-5301000000.0,-90976000000.0,0.0,24311000000.0,50224000000.0,25913000000.0,69391000000.0,-10495000000.0,58896000000.0,11588000000.0,21789000000.0,796000000.0,6864000000.0,-2438000000.0,-7681000000.0,-3278000000.0,8193000000.0,328000000.0,-85000000.0,38514000000.0,-16861000000.0,-2461000000.0,-31812000000.0,22681000000.0,4172000000.0,-24281000000.0,-12339000000.0,0.0,0.0,0.0,2273000000.0,-10066000000.0,70000000.0,4237000000.0,36410000000.0,32173000000.0,38514000000.0,-16861000000.0,21653000000.0,34343000000.0,11781000000.0,173000000.0,10794000000.0,819000000.0,-4340000000.0,7822000000.0,428000000.0,-3091000000.0,-3390000000.0,54520000000.0,-23548000000.0,-2515000000.0,-102247000000.0,98230000000.0,589000000.0,-29491000000.0,-268000000.0,0.0,-18396000000.0,0.0,-4545000000.0,-23209000000.0,-23000000.0,1797000000.0,18498000000.0,16701000000.0,54520000000.0,-23548000000.0,30972000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,57411000000.0,11056000000.0,-215000000.0,6829000000.0,5690000000.0,6917000000.0,-127000000.0,-4062000000.0,2081000000.0,-97000000.0,80674000000.0,-7309000000.0,-1524000000.0,-114938000000.0,120391000000.0,-909000000.0,-4289000000.0,-3462000000.0,880000000.0,-75992000000.0,-14081000000.0,-209000000.0,-86820000000.0,0.0,-10435000000.0,39789000000.0,50224000000.0,80674000000.0,-7309000000.0,73365000000.0,21331000000.0,25251000000.0,-554000000.0,9208000000.0,13481000000.0,-8169000000.0,-2849000000.0,17480000000.0,7019000000.0,-2653000000.0,66064000000.0,-40140000000.0,-2325000000.0,-72479000000.0,50237000000.0,5096000000.0,-59611000000.0,-18425000000.0,0.0,0.0,0.0,17321000000.0,-1104000000.0,618000000.0,5967000000.0,42377000000.0,36410000000.0,66064000000.0,-40140000000.0,25924000000.0,40269000000.0,13697000000.0,1390000000.0,12991000000.0,1827000000.0,-6524000000.0,5813000000.0,694000000.0,1844000000.0,-5050000000.0,65124000000.0,-22281000000.0,-738000000.0,-143751000000.0,133929000000.0,68000000.0,-32773000000.0,-2100000000.0,0.0,-31149000000.0,0.0,8841000000.0,-24408000000.0,24000000.0,7967000000.0,26465000000.0,18498000000.0,65124000000.0,-22281000000.0,42843000000.0,44281000000.0,12796000000.0,-3620000000.0,5289000000.0,2148000000.0,-2577000000.0,168000000.0,3018000000.0,1539000000.0,-219000000.0,60675000000.0,-15441000000.0,-2521000000.0,-77190000000.0,84170000000.0,-1241000000.0,-12223000000.0,-5518000000.0,1343000000.0,-22968000000.0,-15137000000.0,-3751000000.0,-46031000000.0,-201000000.0,2220000000.0,13576000000.0,11356000000.0,60675000000.0,-15441000000.0,45234000000.0
2021,94680000000.0,11284000000.0,-4774000000.0,7906000000.0,-4911000000.0,-10125000000.0,-2642000000.0,12326000000.0,1676000000.0,-147000000.0,104038000000.0,-11085000000.0,-33000000.0,-109558000000.0,106483000000.0,-385000000.0,-14545000000.0,-11643000000.0,1105000000.0,-92527000000.0,-14467000000.0,1998000000.0,-93353000000.0,0.0,-3860000000.0,35929000000.0,39789000000.0,104038000000.0,-11085000000.0,92953000000.0,33364000000.0,34296000000.0,-310000000.0,12757000000.0,-19611000000.0,-18163000000.0,-9487000000.0,3602000000.0,4437000000.0,-14169000000.0,46327000000.0,-61053000000.0,-1985000000.0,-60157000000.0,59384000000.0,5657000000.0,-58154000000.0,-20506000000.0,0.0,0.0,0.0,26797000000.0,6291000000.0,-364000000.0,-5900000000.0,36477000000.0,42377000000.0,46327000000.0,-61053000000.0,-14726000000.0,76033000000.0,12441000000.0,1808000000.0,15376000000.0,-1523000000.0,-9095000000.0,7140000000.0,283000000.0,149000000.0,-12483000000.0,91652000000.0,-24640000000.0,-2618000000.0,-138034000000.0,129228000000.0,541000000.0,-35523000000.0,-21435000000.0,0.0,-50274000000.0,0.0,10347000000.0,-61362000000.0,-287000000.0,-5520000000.0,20945000000.0,26465000000.0,91652000000.0,-24640000000.0,67012000000.0,61271000000.0,11686000000.0,-150000000.0,6118000000.0,-936000000.0,-6481000000.0,-737000000.0,2798000000.0,3484000000.0,-1249000000.0,76740000000.0,-20622000000.0,-8909000000.0,-62924000000.0,65800000000.0,-922000000.0,-27577000000.0,-3750000000.0,1693000000.0,-27385000000.0,-16521000000.0,-2523000000.0,-48486000000.0,-29000000.0,648000000.0,14224000000.0,13576000000.0,76740000000.0,-20622000000.0,56118000000.0
2022,99803000000.0,11104000000.0,895000000.0,9038000000.0,1200000000.0,-1823000000.0,1484000000.0,9448000000.0,478000000.0,111000000.0,122151000000.0,-10708000000.0,-306000000.0,-76923000000.0,67363000000.0,-2086000000.0,-22354000000.0,-4078000000.0,0.0,-95625000000.0,-14841000000.0,3795000000.0,-110749000000.0,0.0,-10952000000.0,24977000000.0,35929000000.0,122151000000.0,-10708000000.0,111443000000.0,-2722000000.0,41921000000.0,-8148000000.0,19621000000.0,-20886000000.0,-21897000000.0,-2592000000.0,2945000000.0,658000000.0,16966000000.0,46752000000.0,-63645000000.0,-8316000000.0,-2565000000.0,31601000000.0,5324000000.0,-37601000000.0,-11719000000.0,0.0,-6000000000.0,0.0,3999000000.0,9718000000.0,-1093000000.0,17776000000.0,54253000000.0,36477000000.0,46752000000.0,-63645000000.0,-16893000000.0,59972000000.0,15928000000.0,-8081000000.0,19362000000.0,-2235000000.0,-2317000000.0,0.0,707000000.0,-625000000.0,6549000000.0,91495000000.0,-31485000000.0,-6969000000.0,-81405000000.0,97972000000.0,1589000000.0,-20298000000.0,-54068000000.0,0.0,-59296000000.0,0.0,43607000000.0,-69757000000.0,-506000000.0,934000000.0,21879000000.0,20945000000.0,91495000000.0,-31485000000.0,60010000000.0,72738000000.0,14460000000.0,-5702000000.0,7502000000.0,446000000.0,-6834000000.0,-1123000000.0,2943000000.0,5460000000.0,-409000000.0,89035000000.0,-23886000000.0,-22038000000.0,-26456000000.0,44894000000.0,-2825000000.0,-30311000000.0,-9023000000.0,1841000000.0,-32696000000.0,-18135000000.0,-863000000.0,-58876000000.0,-141000000.0,-293000000.0,13931000000.0,14224000000.0,89035000000.0,-23886000000.0,65149000000.0
2023,96995000000.0,11519000000.0,0.0,10833000000.0,-6577000000.0,-1688000000.0,-1618000000.0,-1889000000.0,-2653000000.0,-2227000000.0,110543000000.0,-10959000000.0,0.0,-29513000000.0,45514000000.0,-1337000000.0,3705000000.0,-5923000000.0,0.0,-82981000000.0,-15025000000.0,-4559000000.0,-108488000000.0,0.0,5760000000.0,30737000000.0,24977000000.0,110543000000.0,-10959000000.0,99584000000.0,30425000000.0,48663000000.0,-5876000000.0,24023000000.0,-11541000000.0,-8348000000.0,1449000000.0,5473000000.0,-10115000000.0,-748000000.0,84946000000.0,-52729000000.0,-5839000000.0,-1488000000.0,5627000000.0,4596000000.0,-49833000000.0,-33737000000.0,0.0,0.0,0.0,17858000000.0,-15879000000.0,403000000.0,19637000000.0,73890000000.0,54253000000.0,84946000000.0,-52729000000.0,32217000000.0,73795000000.0,11946000000.0,-7763000000.0,22460000000.0,-3845000000.0,-7833000000.0,2276000000.0,664000000.0,1048000000.0,5153000000.0,101746000000.0,-32251000000.0,-495000000.0,-80885000000.0,87619000000.0,-1051000000.0,-27063000000.0,-11550000000.0,0.0,-61504000000.0,0.0,961000000.0,-72093000000.0,-421000000.0,2169000000.0,24048000000.0,21879000000.0,101746000000.0,-32251000000.0,69495000000.0,72361000000.0,13861000000.0,-6059000000.0,9611000000.0,-2388000000.0,-4087000000.0,1242000000.0,-2721000000.0,3178000000.0,196000000.0,87582000000.0,-28107000000.0,-1670000000.0,-37651000000.0,47864000000.0,-3116000000.0,-22680000000.0,-2750000000.0,1866000000.0,-22245000000.0,-19800000000.0,-1006000000.0,-43935000000.0,-194000000.0,20773000000.0,34704000000.0,13931000000.0,87582000000.0,-28107000000.0,59475000000.0
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88136000000.0,22287000000.0,-4738000000.0,10734000000.0,1824000000.0,-7191000000.0,1284000000.0,3545000000.0,4186000000.0,57975000000.0,118548000000.0,-44477000000.0,-69132000000.0,-17732000000.0,35669000000.0,-1298000000.0,-96970000000.0,-575000000.0,2002000000.0,-17254000000.0,-21771000000.0,-1309000000.0,-37757000000.0,-210000000.0,-16389000000.0,18315000000.0,34704000000.0,118548000000.0,-44477000000.0,74071000000.0
