,AAPL Revenue,AAPL Cost of Goods Sold,AAPL Gross Profit,AAPL Gross Profit Ratio,AAPL Research and Development Expenses,AAPL General and Administrative Expenses,AAPL Selling and Marketing Expenses,"AAPL Selling, General and Administrative Expenses",AAPL Other Expenses,AAPL Operating Expenses,AAPL Cost and Expenses,AAPL Interest Income,AAPL Interest Expense,AAPL Depreciation and Amortization,AAPL EBITDA,AAPL EBITDA Ratio,AAPL Operating Income,AAPL Operating Income Ratio,AAPL Total Other Income,AAPL Income Before Tax,AAPL Income Before Tax Ratio,AAPL Income Tax Expense,AAPL Net Income,AAPL Net Income Ratio,AAPL EPS,AAPL EPS Diluted,AAPL Weighted Average Shares,AAPL Weighted Average Shares Diluted,AMZN Revenue,AMZN Cost of Goods Sold,AMZN Gross Profit,AMZN Gross Profit Ratio,AMZN Research and Development Expenses,AMZN General and Administrative Expenses,AMZN Selling and Marketing Expenses,"AMZN Selling, General and Administrative Expenses",AMZN Other Expenses,AMZN Operating Expenses,AMZN Cost and Expenses,AMZN Interest Income,AMZN Interest Expense,AMZN Depreciation and Amortization,AMZN EBITDA,AMZN EBITDA Ratio,AMZN Operating Income,AMZN Operating Income Ratio,AMZN Total Other Income,AMZN Income Before Tax,AMZN Income Before Tax Ratio,AMZN Income Tax Expense,AMZN Net Income,AMZN Net Income Ratio,AMZN EPS,AMZN EPS Diluted,AMZN Weighted Average Shares,AMZN Weighted Average Shares Diluted,GOOGL Revenue,GOOGL Cost of Goods Sold,GOOGL Gross Profit,GOOGL Gross Profit Ratio,GOOGL Research and Development Expenses,GOOGL General and Administrative Expenses,GOOGL Selling and Marketing Expenses,"GOOGL Selling, General and Administrative Expenses",GOOGL Other Expenses,GOOGL Operating Expenses,GOOGL Cost and Expenses,GOOGL Interest Income,GOOGL Interest Expense,GOOGL Depreciation and Amortization,GOOGL EBITDA,GOOGL EBITDA Ratio,GOOGL Operating Income,GOOGL Operating Income Ratio,GOOGL Total Other Income,GOOGL Income Before Tax,GOOGL Income Before Tax Ratio,GOOGL Income Tax Expense,GOOGL Net Income,GOOGL Net Income Ratio,GOOGL EPS,GOOGL EPS Diluted,GOOGL Weighted Average Shares,GOOGL Weighted Average Shares Diluted,MSFT Revenue,MSFT Cost of Goods Sold,MSFT Gross Profit,MSFT Gross Profit Ratio,MSFT Research and Development Expenses,MSFT General and Administrative Expenses,MSFT Selling and Marketing Expenses,"MSFT Selling, General and Administrative Expenses",MSFT Other Expenses,MSFT Operating Expenses,MSFT Cost and Expenses,MSFT Interest Income,MSFT Interest Expense,MSFT Depreciation and Amortization,MSFT EBITDA,MSFT EBITDA Ratio,MSFT Operating Income,MSFT Operating Income Ratio,MSFT Total Other Income,MSFT Income Before Tax,MSFT Income Before Tax Ratio,MSFT Income Tax Expense,MSFT Net Income,MSFT Net Income Ratio,MSFT EPS,MSFT EPS Diluted,MSFT Weighted Average Shares,MSFT Weighted Average Shares Diluted
2019,260174000000.0,161782000000.0,98392000000.0,0.3782,16217000000.0,0.0,0.0,18245000000.0,-422000000.0,34040000000.0,195822000000.0,4961000000.0,3576000000.0,11300000000.0,76477000000.0,0.2939,63930000000.0,0.2457,-1807000000.0,65737000000.0,0.2527,10481000000.0,55256000000.0,0.2124,2.99,2.97,18471336000.0,18595652000.0,280522000000.0,165536000000.0,114986000000.0,0.4099,35931000000.0,5203000000.0,18878000000.0,64313000000.0,203000000.0,100256000000.0,265792000000.0,832000000.0,1600000000.0,21789000000.0,37039000000.0,0.132,14541000000.0,0.0518,-579000000.0,13962000000.0,0.0498,2374000000.0,11588000000.0,0.0413,1.17,1.15,9880000000.0,10080000000.0,161857000000.0,71896000000.0,89961000000.0,0.5558,26018000000.0,9551000000.0,18464000000.0,28015000000.0,5394000000.0,54033000000.0,125929000000.0,2427000000.0,100000000.0,11781000000.0,50302000000.0,0.3108,34231000000.0,0.2115,-5394000000.0,39625000000.0,0.2448,5282000000.0,34343000000.0,0.2122,2.48,2.46,13851920000.0,13971120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,274515000000.0,169559000000.0,104956000000.0,0.3823,18752000000.0,0.0,0.0,19916000000.0,87000000.0,38755000000.0,208314000000.0,3763000000.0,2873000000.0,11056000000.0,77344000000.0,0.2817,66288000000.0,0.2415,-803000000.0,67091000000.0,0.2444,9680000000.0,57411000000.0,0.2091,3.31,3.28,17352119000.0,17528214000.0,386064000000.0,233307000000.0,152757000000.0,0.3957,42740000000.0,6668000000.0,22008000000.0,87193000000.0,2371000000.0,127471000000.0,360778000000.0,555000000.0,1647000000.0,25251000000.0,48647000000.0,0.126,22899000000.0,0.0593,1295000000.0,24194000000.0,0.0627,2863000000.0,21331000000.0,0.0553,2.13,2.09,10000000000.0,10200000000.0,182527000000.0,84732000000.0,97795000000.0,0.5358,27573000000.0,11052000000.0,17946000000.0,28998000000.0,6858000000.0,56571000000.0,141303000000.0,1865000000.0,135000000.0,13697000000.0,55941000000.0,0.3065,41224000000.0,0.2259,-6858000000.0,48082000000.0,0.2634,7813000000.0,40269000000.0,0.2206,2.96,2.93,13616320000.0,13740560000.0,143015000000.0,46078000000.0,96937000000.0,0.6778,19269000000.0,5111000000.0,19598000000.0,24709000000.0,-40000000.0,43978000000.0,90056000000.0,2680000000.0,2591000000.0,12300000000.0,68395000000.0,0.4782,52959000000.0,0.3703,-12000000.0,53036000000.0,0.3708,8755000000.0,44281000000.0,0.3096,5.82,5.76,7610000000.0,7683000000.0
2021,365817000000.0,212981000000.0,152836000000.0,0.4178,21914000000.0,0.0,0.0,21973000000.0,-60000000.0,43827000000.0,256808000000.0,2843000000.0,2645000000.0,11284000000.0,120233000000.0,0.3287,108949000000.0,0.2978,-258000000.0,109207000000.0,0.2985,14527000000.0,94680000000.0,0.2588,5.67,5.61,16701272000.0,16864919000.0,469822000000.0,272344000000.0,197478000000.0,0.4203,56052000000.0,8823000000.0,32551000000.0,116485000000.0,14633000000.0,157962000000.0,430306000000.0,448000000.0,1809000000.0,34296000000.0,59741000000.0,0.1272,24879000000.0,0.053,13276000000.0,38155000000.0,0.0812,4791000000.0,33364000000.0,0.071,3.3,3.24,10120000000.0,10300000000.0,257637000000.0,110939000000.0,146698000000.0,0.5694,31562000000.0,13510000000.0,22912000000.0,36422000000.0,12020000000.0,67984000000.0,178923000000.0,1499000000.0,346000000.0,12441000000.0,91491000000.0,0.3551,78714000000.0,0.3055,-12020000000.0,90734000000.0,0.3522,14701000000.0,76033000000.0,0.2951,5.69,5.61,13353000000.0,13553480000.0,168088000000.0,52232000000.0,115856000000.0,0.6893,20716000000.0,5107000000.0,20117000000.0,25224000000.0,98000000.0,45940000000.0,98172000000.0,2131000000.0,2346000000.0,10900000000.0,83831000000.0,0.4987,69916000000.0,0.4159,1401000000.0,71102000000.0,0.423,9831000000.0,61271000000.0,0.3645,8.12,8.05,7547000000.0,7608000000.0
2022,394328000000.0,223546000000.0,170782000000.0,0.4331,26251000000.0,0.0,0.0,25094000000.0,228000000.0,51573000000.0,275119000000.0,2825000000.0,2931000000.0,11104000000.0,130541000000.0,0.331,119437000000.0,0.3029,334000000.0,119103000000.0,0.302,19300000000.0,99803000000.0,0.2531,6.15,6.11,16215963000.0,16325819000.0,513983000000.0,288831000000.0,225152000000.0,0.4381,73213000000.0,11891000000.0,42238000000.0,138428000000.0,-16806000000.0,229713000000.0,518544000000.0,989000000.0,2367000000.0,41921000000.0,54618000000.0,0.1063,12248000000.0,0.0238,-16806000000.0,-5936000000.0,-0.0115,-3217000000.0,-2722000000.0,-0.0053,-0.27,-0.27,10189000000.0,10189000000.0,282836000000.0,126203000000.0,156633000000.0,0.5538,39500000000.0,15724000000.0,26567000000.0,42291000000.0,-3514000000.0,81791000000.0,207994000000.0,2174000000.0,357000000.0,13475000000.0,91333000000.0,0.3229,74842000000.0,0.2646,3514000000.0,71328000000.0,0.2522,11356000000.0,59972000000.0,0.212,4.59,4.56,13063000000.0,13159000000.0,198270000000.0,62650000000.0,135620000000.0,0.684,24512000000.0,5900000000.0,21825000000.0,27725000000.0,-32000000.0,52237000000.0,114887000000.0,2094000000.0,2063000000.0,14460000000.0,99905000000.0,0.5039,83383000000.0,0.4206,302000000.0,83716000000.0,0.4222,10978000000.0,72738000000.0,0.3669,9.7,9.65,7496000000.0,7540000000.0
2023,383285000000.0,214137000000.0,169148000000.0,0.4413,29915000000.0,0.0,0.0,24932000000.0,382000000.0,55229000000.0,269366000000.0,3750000000.0,3933000000.0,11519000000.0,125820000000.0,0.3283,114301000000.0,0.2982,565000000.0,113736000000.0,0.2967,16741000000.0,96995000000.0,0.2531,6.16,6.13,15744231000.0,15812547000.0,574785000000.0,304739000000.0,270046000000.0,0.4698,85622000000.0,11816000000.0,44370000000.0,146805000000.0,-177000000.0,232427000000.0,537933000000.0,2949000000.0,3182000000.0,48663000000.0,85515000000.0,0.1488,36852000000.0,0.0641,693000000.0,37545000000.0,0.0653,7120000000.0,30425000000.0,0.0529,2.95,2.9,10304000000.0,10492000000.0,307394000000.0,133332000000.0,174062000000.0,0.5663,45427000000.0,16425000000.0,27917000000.0,44342000000.0,556000000.0,89769000000.0,223101000000.0,3865000000.0,308000000.0,11946000000.0,100032000000.0,0.3254,84293000000.0,0.2742,-1424000000.0,85717000000.0,0.2789,11922000000.0,73795000000.0,0.2401,5.84,5.8,12630000000.0,12722000000.0,211915000000.0,65863000000.0,146052000000.0,0.6892,27195000000.0,7575000000.0,22759000000.0,30334000000.0,-223000000.0,57529000000.0,123392000000.0,2994000000.0,1968000000.0,13861000000.0,105155000000.0,0.4962,88523000000.0,0.4177,-238000000.0,89311000000.0,0.4214,16950000000.0,72361000000.0,0.3415,9.72,9.68,7446000000.0,7472000000.0
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245122000000.0,74114000000.0,171008000000.0,0.6976,29510000000.0,7609000000.0,24456000000.0,32065000000.0,-1319000000.0,61575000000.0,135689000000.0,3157000000.0,2935000000.0,22287000000.0,131720000000.0,0.5374,109433000000.0,0.4464,-1646000000.0,107787000000.0,0.4397,19651000000.0,88136000000.0,0.3596,11.86,11.8,7431000000.0,7469000000.0
