,AAPL Cash and Cash Equivalents,AAPL Short Term Investments,AAPL Cash and Short Term Investments,AAPL Accounts Receivable,AAPL Inventory,AAPL Other Current Assets,AAPL Total Current Assets,"AAPL Property, Plant and Equipment",AAPL Goodwill,AAPL Intangible Assets,AAPL Long Term Investments,AAPL Tax Assets,AAPL Other Fixed Assets,AAPL Fixed Assets,AAPL Other Assets,AAPL Total Assets,AAPL Accounts Payable,AAPL Short Term Debt,AAPL Tax Payables,AAPL Deferred Revenue,AAPL Other Current Liabilities,AAPL Total Current Liabilities,AAPL Long Term Debt,AAPL Deferred Revenue Non Current,AAPL Deferred Tax Liabilities,AAPL Other Non Current Liabilities,AAPL Total Non Current Liabilities,AAPL Other Liabilities,AAPL Capital Lease Obligations,AAPL Total Liabilities,AAPL Preferred Stock,AAPL Common Stock,AAPL Retained Earnings,AAPL Accumulated Other Comprehensive Income,AAPL Other Total Shareholder Equity,AAPL Total Shareholder Equity,AAPL Total Equity,AAPL Total Liabilities and Shareholder Equity,AAPL Minority Interest,AAPL Total Liabilities and Equity,AAPL Total Investments,AAPL Total Debt,AAPL Net Debt,AMZN Cash and Cash Equivalents,AMZN Short Term Investments,AMZN Cash and Short Term Investments,AMZN Accounts Receivable,AMZN Inventory,AMZN Other Current Assets,AMZN Total Current Assets,"AMZN Property, Plant and Equipment",AMZN Goodwill,AMZN Intangible Assets,AMZN Long Term Investments,AMZN Tax Assets,AMZN Other Fixed Assets,AMZN Fixed Assets,AMZN Other Assets,AMZN Total Assets,AMZN Accounts Payable,AMZN Short Term Debt,AMZN Tax Payables,AMZN Deferred Revenue,AMZN Other Current Liabilities,AMZN Total Current Liabilities,AMZN Long Term Debt,AMZN Deferred Revenue Non Current,AMZN Deferred Tax Liabilities,AMZN Other Non Current Liabilities,AMZN Total Non Current Liabilities,AMZN Other Liabilities,AMZN Capital Lease Obligations,AMZN Total Liabilities,AMZN Preferred Stock,AMZN Common Stock,AMZN Retained Earnings,AMZN Accumulated Other Comprehensive Income,AMZN Other Total Shareholder Equity,AMZN Total Shareholder Equity,AMZN Total Equity,AMZN Total Liabilities and Shareholder Equity,AMZN Minority Interest,AMZN Total Liabilities and Equity,AMZN Total Investments,AMZN Total Debt,AMZN Net Debt,GOOGL Cash and Cash Equivalents,GOOGL Short Term Investments,GOOGL Cash and Short Term Investments,GOOGL Accounts Receivable,GOOGL Inventory,GOOGL Other Current Assets,GOOGL Total Current Assets,"GOOGL Property, Plant and Equipment",GOOGL Goodwill,GOOGL Intangible Assets,GOOGL Long Term Investments,GOOGL Tax Assets,GOOGL Other Fixed Assets,GOOGL Fixed Assets,GOOGL Other Assets,GOOGL Total Assets,GOOGL Accounts Payable,GOOGL Short Term Debt,GOOGL Tax Payables,GOOGL Deferred Revenue,GOOGL Other Current Liabilities,GOOGL Total Current Liabilities,GOOGL Long Term Debt,GOOGL Deferred Revenue Non Current,GOOGL Deferred Tax Liabilities,GOOGL Other Non Current Liabilities,GOOGL Total Non Current Liabilities,GOOGL Other Liabilities,GOOGL Capital Lease Obligations,GOOGL Total Liabilities,GOOGL Preferred Stock,GOOGL Common Stock,GOOGL Retained Earnings,GOOGL Accumulated Other Comprehensive Income,GOOGL Other Total Shareholder Equity,GOOGL Total Shareholder Equity,GOOGL Total Equity,GOOGL Total Liabilities and Shareholder Equity,GOOGL Minority Interest,GOOGL Total Liabilities and Equity,GOOGL Total Investments,GOOGL Total Debt,GOOGL Net Debt,MSFT Cash and Cash Equivalents,MSFT Short Term Investments,MSFT Cash and Short Term Investments,MSFT Accounts Receivable,MSFT Inventory,MSFT Other Current Assets,MSFT Total Current Assets,"MSFT Property, Plant and Equipment",MSFT Goodwill,MSFT Intangible Assets,MSFT Long Term Investments,MSFT Tax Assets,MSFT Other Fixed Assets,MSFT Fixed Assets,MSFT Other Assets,MSFT Total Assets,MSFT Accounts Payable,MSFT Short Term Debt,MSFT Tax Payables,MSFT Deferred Revenue,MSFT Other Current Liabilities,MSFT Total Current Liabilities,MSFT Long Term Debt,MSFT Deferred Revenue Non Current,MSFT Deferred Tax Liabilities,MSFT Other Non Current Liabilities,MSFT Total Non Current Liabilities,MSFT Other Liabilities,MSFT Capital Lease Obligations,MSFT Total Liabilities,MSFT Preferred Stock,MSFT Common Stock,MSFT Retained Earnings,MSFT Accumulated Other Comprehensive Income,MSFT Other Total Shareholder Equity,MSFT Total Shareholder Equity,MSFT Total Equity,MSFT Total Liabilities and Shareholder Equity,MSFT Minority Interest,MSFT Total Liabilities and Equity,MSFT Total Investments,MSFT Total Debt,MSFT Net Debt
2019,48844000000.0,51713000000.0,100557000000.0,45804000000.0,4106000000.0,12352000000.0,162819000000.0,37378000000.0,0.0,0.0,105341000000.0,0.0,32978000000.0,175697000000.0,0.0,338516000000.0,46236000000.0,16240000000.0,0.0,5522000000.0,37720000000.0,105718000000.0,91807000000.0,0.0,0.0,50503000000.0,142310000000.0,0.0,0.0,248028000000.0,0.0,45174000000.0,45898000000.0,-584000000.0,0.0,90488000000.0,90488000000.0,338516000000.0,0.0,338516000000.0,157054000000.0,108047000000.0,59203000000.0,36092000000.0,18929000000.0,55021000000.0,20816000000.0,20497000000.0,4016000000.0,96334000000.0,97846000000.0,14754000000.0,4049000000.0,711000000.0,4049000000.0,11554000000.0,128914000000.0,0.0,225248000000.0,47183000000.0,14330000000.0,0.0,8190000000.0,18109000000.0,87812000000.0,63205000000.0,2000000000.0,-2000000000.0,12171000000.0,75376000000.0,0.0,39791000000.0,163188000000.0,0.0,5000000.0,31220000000.0,-986000000.0,31821000000.0,62060000000.0,62060000000.0,225248000000.0,0.0,225248000000.0,19640000000.0,63205000000.0,27113000000.0,18498000000.0,101177000000.0,119675000000.0,27492000000.0,999000000.0,4412000000.0,152578000000.0,84587000000.0,20624000000.0,1979000000.0,13078000000.0,721000000.0,2342000000.0,123331000000.0,0.0,275909000000.0,5561000000.0,1199000000.0,274000000.0,1908000000.0,36553000000.0,45221000000.0,14768000000.0,358000000.0,1701000000.0,12419000000.0,29246000000.0,0.0,10214000000.0,74467000000.0,0.0,50552000000.0,152122000000.0,-1232000000.0,0.0,201442000000.0,201442000000.0,275909000000.0,0.0,275909000000.0,114255000000.0,14768000000.0,-3730000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,38016000000.0,52927000000.0,90943000000.0,37445000000.0,4061000000.0,11264000000.0,143713000000.0,45336000000.0,0.0,0.0,100887000000.0,0.0,33952000000.0,180175000000.0,0.0,323888000000.0,42296000000.0,15229000000.0,0.0,6643000000.0,41224000000.0,105392000000.0,107049000000.0,0.0,0.0,46108000000.0,153157000000.0,0.0,9842000000.0,258549000000.0,0.0,50779000000.0,14966000000.0,-406000000.0,0.0,65339000000.0,65339000000.0,323888000000.0,0.0,323888000000.0,153814000000.0,122278000000.0,84262000000.0,42122000000.0,42274000000.0,84396000000.0,24542000000.0,23795000000.0,4942000000.0,132733000000.0,150667000000.0,15017000000.0,4981000000.0,3022000000.0,4981000000.0,14775000000.0,188462000000.0,0.0,321195000000.0,72539000000.0,16115000000.0,0.0,9708000000.0,28023000000.0,126385000000.0,84389000000.0,1900000000.0,-1900000000.0,17017000000.0,101406000000.0,0.0,52573000000.0,227791000000.0,0.0,5000000.0,52551000000.0,-180000000.0,41028000000.0,93404000000.0,93404000000.0,321195000000.0,0.0,321195000000.0,45296000000.0,84389000000.0,42267000000.0,26465000000.0,110229000000.0,136694000000.0,31384000000.0,728000000.0,5490000000.0,174296000000.0,96960000000.0,21175000000.0,1445000000.0,20703000000.0,1084000000.0,3953000000.0,145320000000.0,0.0,319616000000.0,5589000000.0,1694000000.0,1485000000.0,2543000000.0,47008000000.0,56834000000.0,25078000000.0,481000000.0,3561000000.0,11118000000.0,40238000000.0,0.0,11146000000.0,97072000000.0,0.0,58510000000.0,163401000000.0,633000000.0,0.0,222544000000.0,222544000000.0,319616000000.0,0.0,319616000000.0,130932000000.0,25078000000.0,-1387000000.0,13576000000.0,122951000000.0,136527000000.0,32011000000.0,1895000000.0,11482000000.0,181915000000.0,52904000000.0,43351000000.0,7038000000.0,2965000000.0,6405000000.0,6733000000.0,119396000000.0,0.0,301311000000.0,12530000000.0,3749000000.0,2130000000.0,36000000000.0,20031000000.0,72310000000.0,67249000000.0,3180000000.0,204000000.0,40064000000.0,110697000000.0,0.0,7671000000.0,183007000000.0,0.0,80552000000.0,34566000000.0,3186000000.0,0.0,118304000000.0,118304000000.0,301311000000.0,0.0,301311000000.0,125916000000.0,70998000000.0,57422000000.0
2021,34940000000.0,27699000000.0,62639000000.0,51506000000.0,6580000000.0,14111000000.0,134836000000.0,49527000000.0,0.0,0.0,127877000000.0,0.0,38762000000.0,216166000000.0,0.0,351002000000.0,54763000000.0,17141000000.0,0.0,7612000000.0,45965000000.0,125481000000.0,119381000000.0,0.0,0.0,43050000000.0,162431000000.0,0.0,11803000000.0,287912000000.0,0.0,57365000000.0,5562000000.0,163000000.0,0.0,63090000000.0,63090000000.0,351002000000.0,0.0,351002000000.0,155576000000.0,136522000000.0,101582000000.0,36220000000.0,59829000000.0,96049000000.0,32891000000.0,32640000000.0,7391000000.0,161580000000.0,216363000000.0,15371000000.0,5107000000.0,3415000000.0,5107000000.0,18713000000.0,258969000000.0,0.0,420549000000.0,78664000000.0,15923000000.0,0.0,11827000000.0,35852000000.0,142266000000.0,116395000000.0,2200000.0,-2200000.0,23643000000.0,140038000000.0,0.0,67651000000.0,282304000000.0,0.0,5000000.0,85915000000.0,-1376000000.0,53701000000.0,138245000000.0,138245000000.0,420549000000.0,0.0,420549000000.0,63244000000.0,116395000000.0,80175000000.0,20945000000.0,118704000000.0,139649000000.0,40270000000.0,1170000000.0,7054000000.0,188143000000.0,110558000000.0,22956000000.0,1417000000.0,29549000000.0,1284000000.0,5361000000.0,171125000000.0,0.0,359268000000.0,6037000000.0,2189000000.0,808000000.0,3288000000.0,52740000000.0,64254000000.0,26206000000.0,535000000.0,5257000000.0,11381000000.0,43379000000.0,0.0,11389000000.0,107633000000.0,0.0,61774000000.0,191484000000.0,-1623000000.0,0.0,251635000000.0,251635000000.0,359268000000.0,0.0,359268000000.0,148253000000.0,26206000000.0,5261000000.0,14224000000.0,116110000000.0,130334000000.0,38043000000.0,2636000000.0,13393000000.0,184406000000.0,70803000000.0,49711000000.0,7800000000.0,5984000000.0,7181000000.0,7894000000.0,149373000000.0,0.0,333779000000.0,15163000000.0,8072000000.0,2174000000.0,41525000000.0,23897000000.0,88657000000.0,59703000000.0,2616000000.0,198000000.0,40617000000.0,103134000000.0,0.0,9629000000.0,191791000000.0,0.0,83111000000.0,57055000000.0,1822000000.0,0.0,141988000000.0,141988000000.0,333779000000.0,0.0,333779000000.0,122094000000.0,67775000000.0,53551000000.0
2022,23646000000.0,24658000000.0,48304000000.0,60932000000.0,4946000000.0,21223000000.0,135405000000.0,52534000000.0,0.0,0.0,120805000000.0,15375000000.0,28636000000.0,217350000000.0,0.0,352755000000.0,64115000000.0,22773000000.0,6552000000.0,7912000000.0,59182000000.0,153982000000.0,109707000000.0,0.0,0.0,38394000000.0,148101000000.0,0.0,12411000000.0,302083000000.0,0.0,64849000000.0,-3068000000.0,-11109000000.0,0.0,50672000000.0,50672000000.0,352755000000.0,0.0,352755000000.0,145463000000.0,132480000000.0,108834000000.0,53888000000.0,16138000000.0,70026000000.0,42360000000.0,34405000000.0,6158000000.0,146791000000.0,252838000000.0,20288000000.0,6097000000.0,2107000000.0,6097000000.0,34554000000.0,315884000000.0,0.0,462675000000.0,79600000000.0,14854000000.0,0.0,13227000000.0,47712000000.0,155393000000.0,140118000000.0,2900000000.0,-2900000000.0,21121000000.0,161239000000.0,0.0,72968000000.0,316632000000.0,0.0,108000000.0,83193000000.0,-4487000000.0,67229000000.0,146043000000.0,146043000000.0,462675000000.0,0.0,462675000000.0,18245000000.0,140118000000.0,86230000000.0,21879000000.0,91883000000.0,113762000000.0,40258000000.0,2670000000.0,8105000000.0,164795000000.0,127049000000.0,28960000000.0,2084000000.0,30492000000.0,5261000000.0,6623000000.0,200469000000.0,0.0,365264000000.0,5128000000.0,2477000000.0,9258000000.0,3908000000.0,57787000000.0,69300000000.0,27202000000.0,599000000.0,514000000.0,11505000000.0,39820000000.0,0.0,12501000000.0,109120000000.0,0.0,68184000000.0,195563000000.0,-7603000000.0,0.0,256144000000.0,256144000000.0,365264000000.0,0.0,365264000000.0,122375000000.0,29679000000.0,7800000000.0,13931000000.0,90826000000.0,104757000000.0,44261000000.0,3742000000.0,16924000000.0,169684000000.0,87546000000.0,67524000000.0,11298000000.0,6891000000.0,13515000000.0,8382000000.0,195156000000.0,0.0,364840000000.0,19000000000.0,2749000000.0,4067000000.0,45538000000.0,27795000000.0,95082000000.0,58521000000.0,2870000000.0,230000000.0,41595000000.0,103216000000.0,0.0,11489000000.0,198298000000.0,0.0,86939000000.0,84281000000.0,-4678000000.0,0.0,166542000000.0,166542000000.0,364840000000.0,0.0,364840000000.0,97709000000.0,61270000000.0,47339000000.0
2023,29965000000.0,31590000000.0,61555000000.0,60985000000.0,6331000000.0,14695000000.0,143566000000.0,54376000000.0,0.0,0.0,100544000000.0,17852000000.0,36245000000.0,209017000000.0,0.0,352583000000.0,62611000000.0,17382000000.0,8819000000.0,8061000000.0,57254000000.0,145308000000.0,106548000000.0,-19454000000.0,19454000000.0,38581000000.0,145129000000.0,0.0,12842000000.0,290437000000.0,0.0,73812000000.0,-214000000.0,-11452000000.0,0.0,62146000000.0,62146000000.0,352583000000.0,0.0,352583000000.0,132134000000.0,123930000000.0,93965000000.0,73387000000.0,13393000000.0,86780000000.0,52253000000.0,33318000000.0,6897000000.0,172351000000.0,276690000000.0,22789000000.0,7687000000.0,2206000000.0,7687000000.0,46131000000.0,355503000000.0,0.0,527854000000.0,84981000000.0,18945000000.0,0.0,15227000000.0,45764000000.0,164917000000.0,135611000000.0,5700000000.0,-5700000000.0,25451000000.0,161062000000.0,0.0,77297000000.0,325979000000.0,0.0,109000000.0,113618000000.0,-3040000000.0,91188000000.0,201875000000.0,201875000000.0,527854000000.0,0.0,527854000000.0,15599000000.0,135611000000.0,62224000000.0,24048000000.0,86868000000.0,110916000000.0,47964000000.0,0.0,12650000000.0,171530000000.0,148436000000.0,29198000000.0,0.0,31008000000.0,12169000000.0,10051000000.0,230862000000.0,0.0,402392000000.0,7493000000.0,2791000000.0,2748000000.0,4137000000.0,67393000000.0,81814000000.0,25713000000.0,911000000.0,485000000.0,10090000000.0,37199000000.0,0.0,16634000000.0,119013000000.0,0.0,76534000000.0,211247000000.0,-4402000000.0,0.0,283379000000.0,283379000000.0,402392000000.0,0.0,402392000000.0,117876000000.0,28504000000.0,4456000000.0,34704000000.0,76558000000.0,111262000000.0,48688000000.0,2500000000.0,21807000000.0,184257000000.0,109987000000.0,67886000000.0,9366000000.0,9879000000.0,20163000000.0,10438000000.0,227719000000.0,0.0,411976000000.0,18095000000.0,5247000000.0,4152000000.0,50901000000.0,29906000000.0,104149000000.0,54718000000.0,2912000000.0,433000000.0,43541000000.0,101604000000.0,0.0,12728000000.0,205753000000.0,0.0,93718000000.0,118848000000.0,-6343000000.0,0.0,206223000000.0,206223000000.0,411976000000.0,0.0,411976000000.0,86437000000.0,59965000000.0,25261000000.0
2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18315000000.0,57228000000.0,75543000000.0,56924000000.0,1246000000.0,26021000000.0,159734000000.0,154552000000.0,119220000000.0,27597000000.0,19519000000.0,22270000000.0,9271000000.0,352429000000.0,0.0,512163000000.0,21996000000.0,14871000000.0,5017000000.0,57582000000.0,30837000000.0,125286000000.0,42688000000.0,2602000000.0,2618000000.0,70492000000.0,118400000000.0,0.0,40293000000.0,243686000000.0,0.0,100923000000.0,173144000000.0,-5590000000.0,0.0,268477000000.0,268477000000.0,512163000000.0,0.0,512163000000.0,76747000000.0,97852000000.0,79537000000.0
